Lemma,Artikel,Plural,Präsens,Präteritum,Hilfsverb,Partizip
Betreiber,der,-,,,,
betrieblich,,,,,,
Betriebsberater,der,-,,,,
Betriebswirt,der,-e,,,,
betroffen,,,,,,
Betroffene,der/die,-n,,,,
Betrug,der,ü-e,,,,
betrügerisch,,,,,,
beugen,,,beugt,beugte,hat,gebeugt
Beurteilung,die,-en,,,,
Beute,die,-n,,,,
Bevölkerungsschicht,die,-en,,,,
Bevölkerungszahl,die,-en,,,,
bewaffnet,,,,,,
bewahren,,,bewahrt,bewahrte,hat,bewahrt
bewährt,,,,,,
bewältigen,,,bewältigt,bewältigte,hat,bewältigt
Bewältigung,die,,,,,
Bewältigungsverhalten,das,,,,,
bewegen,,,bewegt,bewegte,hat,bewegt
Bewegungsablauf,der,ä-e,,,,
Bewegungsarmut,die,,,,,
Bewerber,der,-,,,,
Bewerbungsratgeber,der,-,,,,
Bewerbungstrainer,der,-,,,,
bewerten,,,bewertet,bewertete,hat,bewertet
Bewertung,die,-en,,,,
bewirken,,,bewirkt,bewirkte,hat,bewirkt
bewirken,,,bewirkt,bewirkte,hat,bewirkt
bewusst,,,,,,
bewusst,,,,,,
Bewusstsein,das,,,,,
Bewusstsein,das,,,,,
bezeichnen,,,bezeichnet,bezeichnete,hat,bezeichnet
bezeichnen,,,bezeichnet,bezeichnete,hat,bezeichnet
beziehen,,,bezieht,bezog,hat,bezogen
beziehen,,,bezieht,bezog,hat,bezogen
Bezug,der,-e,,,,
Bezug,der,-e,,,,
Bezugspunkt,der,-e,,,,
Bezugspunkt,der,-e,,,,
bezweifeln,,,bezweifelt,bezweifelte,hat,bezweifelt
bezweifeln,,,bezweifelt,bezweifelte,hat,bezweifelt
bezwingen,,,bezwingt,bezwang,hat,bezwungen
bezwingen,,,bezwingt,bezwang,hat,bezwungen
Bibliothekar,der,-e,,,,
Bibliothekar,der,-e,,,,
biegen,,,biegt,bog,hat,gebogen
biegen,,,biegt,bog,hat,gebogen
Bildband,der,-e,,,,
Bildband,der,-e,,,,
bilden,,,bildet,bildete,hat,gebildet
bilden,,,bildet,bildete,hat,gebildet
bildungsbürgerlich,,,,,,
bildungsbürgerlich,,,,,,
Bildungsbürgertum,das,,,,,
Bildungsbürgertum,das,,,,,
Bildungsgrad,der,-e,,,,
Bildungsgrad,der,-e,,,,
Bildungspolitik,die,,,,,
Bildungspolitik,die,,,,,
binden,,,bindet,band,hat,gebunden
binden,,,bindet,band,hat,gebunden
Bio-Tonne,die,-n,,,,
Bio-Tonne,die,-n,,,,
Bioecke,die,-n,,,,
Bioecke,die,-n,,,,
Biosiegel,das,-,,,,
Biosiegel,das,-,,,,
Bioware,die,-n,,,,
Bioware,die,-n,,,,
Birne,die,-n,,,,
Birne,die,-n,,,,
bisherig,,,,,,
bisherig,,,,,,
bislang,,,,,,
bislang,,,,,,
Black-out,der,-s,,,,
Black-out,der,-s,,,,
Blamage,die,-n,,,,
Blamage,die,-n,,,,
Blasinstrument,das,-e,,,,
Blasinstrument,das,-e,,,,
Blasmusik,die,,,,,
Blasmusik,die,,,,,
bleiben,,,bleibt,blieb,ist,geblieben
bleiben,,,bleibt,blieb,ist,geblieben
Böller,der,-,,,,
Böller,der,-,,,,
Boom,der,-s,,,,
Boom,der,-s,,,,
Börse,die,-n,,,,
Börse,die,-n,,,,
Börsenmakler,der,-,,,,
Börsenmakler,der,-,,,,
Botenstoff,der,-e,,,,
Bowling,das,,,,,
Brainstorming,das,-s,,,,
brechen,,,bricht,brach,hat/ist,gebrochen
Brechstange,die,-n,,,,
breiig,,,,,,
Bremslicht,das,-er,,,,
brillant,,,,,,
bringen,,,bringt,brachte,hat,gebracht
Brokkoli,der,-,,,,
Bruchteil,der,-e,,,,
brühen,,,brüht,brühte,hat,gebrüht
brühen,,,brüht,brühte,hat,gebrüht
Brunnen,der,-,,,,
Brunnen,der,-,,,,
brutal,,,,,,
brutal,,,,,,
Buchautor,der,-en,,,,
Buchautor,der,-en,,,,
Buchbesprechung,die,-en,,,,
Buchbesprechung,die,-en,,,,
Bücherregal,das,-e,,,,
Bücherregal,das,-e,,,,
Buchhändler,der,-,,,,
Buchhändler,der,-,,,,
Buchkritik,die,-en,,,,
Buchkritik,die,-en,,,,
Buchkritiker,der,-,,,,
Buchkritiker,der,-,,,,
Buchverfilmung,die,-en,,,,
Buchverfilmung,die,-en,,,,
Bude,die,-n,,,,
Bude,die,-n,,,,
bügeln,,,bügelt,bügelte,hat,gebügelt
bügeln,,,bügelt,bügelte,hat,gebügelt
Bühnenkonzert,das,-e,,,,
Bühnenkonzert,das,-e,,,,
Bühnenprogramm,das,-e,,,,
Bühnenprogramm,das,-e,,,,
bündeln,,,bündelt,bündelte,hat,gebündelt
bündeln,,,bündelt,bündelte,hat,gebündelt
Bundesfreiwilligendienst,der,,,,,
Bundesfreiwilligendienst,der,,,,,
Bundesministerium,das,-ministerien,,,,
Bundesministerium,das,-ministerien,,,,
Bundesstaat,der,-en,,,,
Bundesstaat,der,-en,,,,
bundesweit,,,,,,
bundesweit,,,,,,
Burn-Out,der,-s,,,,
Burn-Out,der,-s,,,,
Bürokratie,die,,,,,
Bürokratie,die,,,,,
Büroplatz,der,-e,,,,
Büroplatz,der,-e,,,,
Bürostuhl,der,-e,,,,
Bürostuhl,der,-e,,,,
Bushaltestelle,die,-n,,,,
Bushaltestelle,die,-n,,,,
Business,das,,,,,
Business,das,,,,,
Businessplan,der,-e,,,,
Businessplan,der,-e,,,,
Butterkeks,der,-e,,,,
Butterkeks,der,-e,,,,
Casting,das,-s,,,,
Casting,das,-s,,,,
Cello,das,-s,,,,
Cello,das,-s,,,,
chaotisch,,,,,,
chaotisch,,,,,,
charmant,,,,,,
charmant,,,,,,
Check,der,-s,,,,
Check,der,-s,,,,
checken,,,checkt,checkte,hat,gecheckt
checken,,,checkt,checkte,hat,gecheckt
Chemiker,der,-,,,,
Chemiker,der,-,,,,
chemisch,,,,,,
chemisch,,,,,,
Choreograf,der,-en,,,,
Choreograf,der,-en,,,,
Chromosom,das,-en,,,,
Chromosom,das,-en,,,,
chronologisch,,,,,,
chronologisch,,,,,,
Clown,der,-s,,,,
Clown,der,-s,,,,
Clubkonzert,das,-e,,,,
Clubkonzert,das,-e,,,,
Community,die,-s,,,,
Community,die,-s,,,,
Computerspielsucht,die,,,,,
Computerspielsucht,die,,,,,
computerspielsüchtig,,,,,,
computerspielsüchtig,,,,,,
Computerwissenschaftler,der,-,,,,
Computerwissenschaftler,der,-,,,,
Crowdfunder,der,-,,,,
Crowdfunder,der,-,,,,
Crowdfunding,das,,,,,
Crowdfunding,das,,,,,
Crowdfunding-Aktion,die,-en,,,,
Crowdfunding-Aktion,die,-en,,,,
Currywurst,die,-e,,,,
Currywurst,die,-e,,,,
Cyberkriminalität,die,,,,,
Cyberkriminalität,die,,,,,
danebenstellen,,,stellt daneben,stellte daneben,hat,danebengestellt
danebenstellen,,,stellt daneben,stellte daneben,hat,danebengestellt
darbieten,,,bietet dar,bot dar,hat,dargeboten
darbieten,,,bietet dar,bot dar,hat,dargeboten
darlegen,,,legt dar,legte dar,hat,dargelegt
darlegen,,,legt dar,legte dar,hat,dargelegt
Darlegung,die,-en,,,,
Darlegung,die,-en,,,,
Darlehen,das,-,,,,
Darlehen,das,-,,,,
dasitzen,,,sitzt da,saß da,hat,dagesessen
dasitzen,,,sitzt da,saß da,hat,dagesessen
Datenbank,die,-en,,,,
Datenbank,die,-en,,,,
Datensicherheit,die,,,,,
Datensicherheit,die,,,,,
Dauerfeuer,das,-,,,,
Dauerfeuer,das,-,,,,
Dauergast,der,-e,,,,
Dauergast,der,-e,,,,
Dauerstress,der,,,,,
Dauerstress,der,,,,,
davonlaufen,,,läuft davon,lief davon,ist,davongelaufen
davonlaufen,,,läuft davon,lief davon,ist,davongelaufen
defekt,,,,,,
defekt,,,,,,
definitiv,,,,,,
definitiv,,,,,,
Deich,der,-e,,,,
Deich,der,-e,,,,
Delikt,das,-e,,,,
Delikt,das,-e,,,,
Demenz,die,,,,,
Demenz,die,,,,,
demgegenüber,,,,,,
demgegenüber,,,,,,
demnach,,,,,,
demnach,,,,,,
denkbar,,,,,,
denkbar,,,,,,
Depression,die,-en,,,,
Depression,die,-en,,,,
derart,,,,,,
derart,,,,,,
derartig,,,,,,
derartig,,,,,,
derzeit,,,,,,
derzeit,,,,,,
Desinfektion,die,-en,,,,
Desinfektion,die,-en,,,,
desinteressiert,,,,,,
desinteressiert,,,,,,
Detektiv,der,-e,,,,
Detektiv,der,-e,,,,
Deutung,die,-en,,,,
Deutung,die,-en,,,,
Diabetes,der,,,,,
Diabetes,der,,,,,
Diagnose,die,-n,,,,
Diagnose,die,-n,,,,
Dialektik,die,,,,,
Dialektik,die,,,,,
Diätmethode,die,-n,,,,
Diätmethode,die,-n,,,,
dicht,,,,,,
dicht,,,,,,
Didaktik,die,,,,,
Didaktik,die,,,,,
Diebstahl,der,-e,,,,
Diebstahl,der,-e,,,,
Dienstreise,die,-n,,,,
Dienstreise,die,-n,,,,
differenziert,,,,,,
differenziert,,,,,,
Dilemma,das,-ta,,,,
Dilemma,das,-ta,,,,
Dioxin,das,,,,,
Dioxin,das,,,,,
Dissertation,die,-en,,,,
Dissertation,die,-en,,,,
Disziplin,die,-en,,,,
Disziplin,die,-en,,,,
Dokumentarfilm,der,-e,,,,
Dokumentarfilm,der,-e,,,,
dokumentieren,,,dokumentiert,dokumentierte,hat,dokumentiert
dokumentieren,,,dokumentiert,dokumentierte,hat,dokumentiert
dominieren,,,dominiert,dominierte,hat,dominiert
dominieren,,,dominiert,dominierte,hat,dominiert
Doppelbelastung,die,-en,,,,
Doppelbelastung,die,-en,,,,
Doppelstich,der,-e,,,,
Doppelstich,der,-e,,,,
dramatisch,,,,,,
dramatisch,,,,,,
Drang,der,,,,,
Drang,der,,,,,
dreckig,,,,,,
dreckig,,,,,,
Drehbuchautor,der,-en,,,,
Drehbuchautor,der,-en,,,,
dreidimensional,,,,,,
dreidimensional,,,,,,
