Lemma,Artikel,Plural,Präsens,Präteritum,Hilfsverb,Partizip
Jugendfürsorge,die,,,,,
Jugendkriminalität,die,,,,,
Jugendkriminalität,die,,,,,
Jugendpsychiatrie,die,-n,,,,
Jugendpsychiatrie,die,-n,,,,
Jugendsünde,die,-n,,,,
Jugendsünde,die,-n,,,,
Jugendwelt,die,-en,,,,
Jugendwelt,die,-en,,,,
Jungunternehmer,der,-,,,,
Jungunternehmer,der,-,,,,
Juniorprofessor,der,-en,,,,
Juniorprofessor,der,-en,,,,
Jurist,der,-en,,,,
Jurist,der,-en,,,,
juristisch,,,,,,
juristisch,,,,,,
Justitia,die,,,,,
Justitia,die,,,,,
Kabarett,das,-s,,,,
Kabarett,das,-s,,,,
Kabarettist,der,-en,,,,
Kabarettist,der,-en,,,,
Kaffeefilter,der,-,,,,
Kaffeefilter,der,-,,,,
Kaffeepulver,das,-,,,,
Kaffeepulver,das,-,,,,
Kaffeesatz,der,-e,,,,
Kaffeesatz,der,-e,,,,
kahl,,,,,,
kahl,,,,,,
Kalenderblatt,das,-er,,,,
Kalenderblatt,das,-er,,,,
Kalkulation,die,-en,,,,
Kalkulation,die,-en,,,,
Kamin,der,-e,,,,
Kamin,der,-e,,,,
Kanal,der,-e,,,,
Kanal,der,-e,,,,
Kangalfisch,der,-e,,,,
Kangalfisch,der,-e,,,,
Kanzlei,die,-en,,,,
Kanzlei,die,-en,,,,
Kapazität,die,-en,,,,
Kapazität,die,-en,,,,
Kapital,das,,,,,
Kapital,das,,,,,
Kapitalgeber,der,-,,,,
Kapitalgeber,der,-,,,,
Kapitulation,die,-en,,,,
Kapitulation,die,-en,,,,
Kapsel,die,-n,,,,
Kapsel,die,-n,,,,
Karaffe,die,-n,,,,
Karaffe,die,-n,,,,
Karate,das,,,,,
Karate,das,,,,,
Karikatur,die,-en,,,,
Karikatur,die,-en,,,,
Karnevalszeit,die,-en,,,,
Karnevalszeit,die,-en,,,,
Karrierebremse,die,-n,,,,
Karrierebremse,die,-n,,,,
Karrierefaktor,der,-en,,,,
Karrierefaktor,der,-en,,,,
Karrieremagazin,das,-e,,,,
Karrieremagazin,das,-e,,,,
Karriereschritt,der,-e,,,,
Karriereschritt,der,-e,,,,
Kasse,die,-n,,,,
Kasse,die,-n,,,,
Kasten,der,-,,,,
Kasten,der,-,,,,
Kellerstück,das,-e,,,,
Kellerstück,das,-e,,,,
kennen,,,kennt,kannte,hat,gekannt
kennen,,,kennt,kannte,hat,gekannt
Kenntnis,die,-se,,,,
Kenntnis,die,-se,,,,
Kennzeichnung,die,-en,,,,
Kennzeichnung,die,-en,,,,
Kern,der,-e,,,,
Kern,der,-e,,,,
kerngesund,,,,,,
kerngesund,,,,,,
Kernspintomograf,der,-en,,,,
Kernspintomograf,der,-en,,,,
Kick,der,-s,,,,
Kick,der,-s,,,,
kiefergerecht,,,,,,
kiefergerecht,,,,,,
Kinderarzt,der,-e,,,,
Kinderarzt,der,-e,,,,
Kindergärtner,der,-,,,,
Kindergärtner,der,-,,,,
Kinderpsychiater,der,-,,,,
Kinderpsychiater,der,-,,,,
Kinderzimmer,das,-,,,,
Kinderzimmer,das,-,,,,
kindgerecht,,,,,,
kindgerecht,,,,,,
Kindheitserinnerung,die,-en,,,,
Kindheitserinnerung,die,-en,,,,
Kinogutschein,der,-e,,,,
Kinogutschein,der,-e,,,,
kitschig,,,,,,
kitschig,,,,,,
Kitt,der,-e,,,,
Kitt,der,-e,,,,
Kittel,der,-,,,,
Kittel,der,-,,,,
kitzeln,,,kitzelt,kitzelte,hat,gekitzelt
kitzeln,,,kitzelt,kitzelte,hat,gekitzelt
kitzlig,,,,,,
kitzlig,,,,,,
klammheimlich,,,,,,
klammheimlich,,,,,,
Klang,der,-e,,,,
Klang,der,-e,,,,
klarkommen,,,kommt klar,kam klar,ist,klargekommen
klarkommen,,,kommt klar,kam klar,ist,klargekommen
Klassenfahrt,die,-en,,,,
Klassenfahrt,die,-en,,,,
Klassiker,der,-,,,,
Klassiker,der,-,,,,
Klette,die,-n,,,,
Klette,die,-n,,,,
Klettverschluss,der,-e,,,,
Klettverschluss,der,-e,,,,
Klickgarant,der,-en,,,,
Klickgarant,der,-en,,,,
Klinge,die,-n,,,,
Klinge,die,-n,,,,
Kluft,die,-en,,,,
Kluft,die,-en,,,,
knacken,,,knackt,knackte,hat,geknackt
knacken,,,knackt,knackte,hat,geknackt
kneifen,,,kneift,kniff,hat,gekniffen
kneifen,,,kneift,kniff,hat,gekniffen
Knochenbruch,der,-e,,,,
Knochenbruch,der,-e,,,,
Knollensellerie,der,-s,,,,
Knollensellerie,der,-s,,,,
kognitiv,,,,,,
kognitiv,,,,,,
Kohleförderung,die,-en,,,,
Kohleförderung,die,-en,,,,
Kohlehydrat,das,-e,,,,
Kohlehydrat,das,-e,,,,
Kohlekrise,die,-n,,,,
Kohlekrise,die,-n,,,,
kollektiv,,,,,,
kollektiv,,,,,,
Komiker,der,-,,,,
Komiker,der,-,,,,
kommen,,,kommt,kam,ist,gekommen
kommen,,,kommt,kam,ist,gekommen
Kommilitone,der,-n,,,,
Kommilitone,der,-n,,,,
Kommissar,der,-e,,,,
Kommissar,der,-e,,,,
Kommune,die,-n,,,,
Kommune,die,-n,,,,
Kommunikationsfähigkeit,die,,,,,
Kommunikationsfähigkeit,die,,,,,
Kommunikationskultur,die,-en,,,,
Kommunikationskultur,die,-en,,,,
Kommunikationsmanagement,das,-s,,,,
Kommunikationsmanagement,das,-s,,,,
Kommunikationsmittel,das,-,,,,
Kommunikationsmittel,das,-,,,,
Kommunikationsweg,der,-e,,,,
Kommunikationsweg,der,-e,,,,
Kommunikationswirt,der,-e,,,,
Kommunikationswirt,der,-e,,,,
kommunikativ,,,,,,
kommunikativ,,,,,,
komödiantisch,,,,,,
komödiantisch,,,,,,
kompetent,,,,,,
kompetent,,,,,,
Konflikt,der,-e,,,,
Konflikt,der,-e,,,,
Konfliktfähigkeit,die,,,,,
Konfliktfähigkeit,die,,,,,
Konfliktsituation,die,-en,,,,
Konfliktsituation,die,-en,,,,
konfrontieren,,,konfrontiert,konfrontierte,hat,konfrontiert
königlich,,,,,,
Konjunktur,die,-en,,,,
konkret,,,,,,
Konkurrenzdruck,der,,,,,
Konsequenz,die,-en,,,,
Konstrukt,das,-e,,,,
Konsument,der,-en,,,,
Kontakt,der,-e,,,,
Kontaktaufnahme,die,-n,,,,
kontern,,,kontert,konterte,hat,gekontert
Kontext,der,-e,,,,
konventionell,,,,,,
Konzentrationstest,der,-s,,,,
Konzept,das,-e,,,,
Konzern,der,-e,,,,
Konzertfilm,der,-e,,,,
Kopf,der,-e,,,,
Kopfbedeckung,die,-en,,,,
Köpfchen,das,-,,,,
Kopfschmerzen,die,Pl.,,,,
Koproduktion,die,-en,,,,
Korbmacher,der,-,,,,
Korbstuhl,der,-e,,,,
Körpergefühl,das,-e,,,,
Körperhaltung,die,-en,,,,
Körpertemperatur,die,-en,,,,
Körperverletzung,die,-en,,,,
Korrektheit,die,,,,,
Korrespondenz,die,-en,,,,
Kosmetikbehandlung,die,-en,,,,
Kosmetikliege,die,-n,,,,
kostbar,,,,,,
kosten,,,kostet,kostete,hat,gekostet
kostümieren,,,kostümiert,kostümierte,hat,kostümiert
Kraft,die,-e,,,,
Krankheitsprävention,die,,,,,
Kräuter,die,Pl.,,,,
Kreativität,die,,,,,
Kreativitätstrainer,der,-,,,,
Kreativtechnik,die,-en,,,,
Krebs,der,,,,,
Krebsfrüherkennung,die,,,,,
Kredit,der,-e,,,,
Kreditwürdigkeit,die,,,,,
Kreis,der,-e,,,,
Kreislaufprobleme,die,Pl.,,,,
kribbeln,,,kribbelt,kribbelte,hat,gekribbelt
Kriegswaise,der,-n,,,,
Krimiabteilung,die,-en,,,,
Krimiautor,der,-en,,,,
Krimifigur,die,-en,,,,
Krimihandlung,die,-en,,,,
Krimileser,der,-,,,,
Kriminalität,die,,,,,
Kriminalliteratur,die,,,,,
kriminell,,,,,,
kriminologisch,,,,,,
Krimireihe,die,-n,,,,
Krimischauplatz,der,-e,,,,
Kriterium,das,Kriterien,,,,
Kritikfähigkeit,die,,,,,
Krümel,der,-,,,,
kugelrund,,,,,,
Kühlwasser,das,-,,,,
Kuhstall,der,-e,,,,
Kult,der,,,,,
Kulturwissenschaft,die,-en,,,,
Kulturwissenschaftler,der,-,,,,
Kumpel,der,-,,,,
kündbar,,,,,,
Kundenorientierung,die,,,,,
Kundenzahlen,die,Pl.,,,,
Kunstakademie,die,-n,,,,
Kunstareal,das,-e,,,,
Kunstbereich,der,-e,,,,
Kunstfälschung,die,-en,,,,
Kunsthandwerk,das,-e,,,,
Kunsthochschule,die,-n,,,,
Kunstkurs,der,-e,,,,
Künstleralltag,der,,,,,
künstlerisch,,,,,,
Künstlerleben,das,-,,,,
Kunstsammlung,die,-en,,,,
Kunstschatz,der,-e,,,,
Kunststück,das,-e,,,,
Kunststudium,das,-studien,,,,
Kunstwelt,die,-en,,,,
Kur,die,-en,,,,
kurfürstlich,,,,,,
kurios,,,,,,
Kurs,der,-e,,,,
Kürzel,das,-,,,,
kurzerhand,,,,,,
kurzweilig,,,,,,
Kurzzeitgedächtnis,das,,,,,
Kusine,die,-n,,,,
Kutsche,die,-n,,,,
Labertasche,die,-n,,,,
Ladenpreis,der,-e,,,,
Lage,die,-n,,,,
Lagerung,die,-en,,,,
Landesverrat,der,-e,,,,
Landwirt,der,-e,,,,
langfristig,,,,,,
längs,,,,,,
Langzeitfolge,die,-n,,,,
Langzeitgedächtnis,das,,,,,
Lauf,der,-e,,,,
laufen,,,läuft,lief,ist,gelaufen
laufend,,,,,,
Laufzeit,die,-en,,,,
Laut,der,-e,,,,
lauten,,,lautet,lautete,hat,gelautet
lauwarm,,,,,,
Leadsänger,der,-,,,,
Leben,das,-,,,,
Lebensart,die,-en,,,,
Lebenserwartung,die,,,,,
Lebensfreude,die,,,,,
Lebensgeschichte,die,-n,,,,
Lebenskrise,die,-n,,,,
Lebensmittelindustrie,die,-n,,,,
Lebensmittelkontrolleur,der,-e,,,,
Lebensmittelpunkt,der,-e,,,,
Lebensmittelsicherheit,die,,,,,
Lebensmittelwirtschaft,die,,,,,
Lebensplan,der,-e,,,,
Lebensprinzip,das,-ien,,,,
Lebensqualität,die,,,,,
Lebensspanne,die,,,,,
Lebensstil,der,-e,,,,
Lebenswelt,die,-en,,,,
Lebenswerk,das,-e,,,,
Lederhose,die,-n,,,,
lediglich,,,,,,
Leere,die,,,,,
legen,,,legt,legte,hat,gelegt
legendär,,,,,,
Legitimierung,die,-en,,,,
lehren,,,lehrt,lehrte,hat,gelehrt
Lehrende,der/die,-n,,,,
Lehrjahr,das,-e,,,,
Lehrmeister,der,-,,,,
Lehrperson,die,-en,,,,
Lehrplan,der,-e,,,,
lehrreich,,,,,,
Lehrstuhl,der,-e,,,,
Leichtigkeit,die,,,,,
Leidenschaft,die,-en,,,,
Leihservice,der,-s,,,,
Leistungsdruck,der,,,,,
Leistungserwartung,die,-en,,,,
Leitfaden,der,-,,,,
Leitung,die,-en,,,,
Lektion,die,-en,,,,
lenken,,,lenkt,lenkte,hat,gelenkt
Lernniveau,das,-s,,,,
Lernprozess,der,-e,,,,
Lernziel,das,-e,,,,
Lesefimmel,der,-,,,,
Lesefreund,der,-e,,,,
lesenswert,,,,,,
Leseratte,die,-n,,,,
Leserkommentar,der,-e,,,,
Lesung,die,-en,,,,
Liberalisierung,die,-en,,,,
Lichtblick,der,-e,,,,
Liebeskummer,der,-,,,,
liebevoll,,,,,,
Liebhaber,der,-,,,,
liegen,,,liegt,lag,hat,gelegen
Linde,die,-n,,,,
Linguistik,die,,,,,
Linienbus,der,-se,,,,
literarisch,,,,,,
Literatursegment,das,-e,,,,
Literaturverfilmung,die,-en,,,,
Literaturwissenschaft,die,-en,,,,
Literaturwissenschaftler,der,-,,,,
Livealbum,das,-alben,,,,
lobenswert,,,,,,
Locke,die,-n,,,,
logisch,,,,,,
Lohnkosten,die,Pl.,,,,
Lokalkolorit,das,-s,,,,
Los,das,-e,,,,
Löschblatt,das,-er,,,,
Loslösung,die,,,,,
Lösungsansatz,der,-e,,,,
loswerden,,,wird los,wurde los,ist,losgeworden
Lotto,das,,,,,
Löwenzahn,der,-e,,,,
lückenlos,,,,,,
Luft,die,-e,,,,
Luft,die,-e,,,,
lustig,,,,,,
lustig,,,,,,
luxuriös,,,,,,
luxuriös,,,,,,
Luxus,der,,,,,
Luxus,der,,,,,
Machenschaft,die,-en,,,,
Machenschaft,die,-en,,,,
Mächtige,der/die,-n,,,,
Mächtige,der/die,-n,,,,
mäkeln,,,,,,
mäkeln,,,,,,
managen,,,,,,
managen,,,,,,
mangeln,,,,,,
mangeln,,,,,,
Mango,die,-s,,,,
Mango,die,-s,,,,
Manieren,die,,,,,
Manieren,die,,,,,
Manipulation,die,-en,,,,
Manipulation,die,-en,,,,
Markenzeichen,das,-,,,,
Markenzeichen,das,-,,,,
Marker,der,-,,,,
Marker,der,-,,,,
Marketingabteilung,die,-en,,,,
Marketingabteilung,die,-en,,,,
Marktlücke,die,-n,,,,
Marktlücke,die,-n,,,,
Marsrover,der,-,,,,
Marsrover,der,-,,,,
Masern,die,,,,,
Maskierung,die,-en,,,,
Maskierung,die,-en,,,,
Massage,die,-n,,,,
Massage,die,-n,,,,
Masse,die,-n,,,,
Masse,die,-n,,,,
massieren,,,,,,
massieren,,,,,,
maßgeschneidert,,,,,,
maßgeschneidert,,,,,,
Maschinenbau,der,,,,,
Maschinenbau,der,,,,,
Masern,die,,,,,
mäßig,,,,,,
mäßig,,,,,,
Master,der,-,,,,
Master,der,-,,,,
materiell,,,,,,
materiell,,,,,,
Medienpädagoge,der,-n,,,,
Medienpädagoge,der,-n,,,,
Mediziner,der,-,,,,
Mediziner,der,-,,,,
mehrfach,,,,,,
mehrfach,,,,,,
mehrmals,,,,,,
mehrmals,,,,,,
Mehrsprachigkeit,die,,,,,
Mehrsprachigkeit,die,,,,,
Meinungsmacher,der,-,,,,
Meinungsmacher,der,-,,,,
meistern,,,,,,
meistern,,,,,,
meistverkauft,,,,,,
meistverkauft,,,,,,
Menschentraube,die,-n,,,,
Menschentraube,die,-n,,,,
Menschenverstand,der,,,,,
Menschenverstand,der,,,,,
Merkmal,das,-e,,,,
Merkmal,das,-e,,,,
Merkzettel,der,-,,,,
Merkzettel,der,-,,,,
Messdaten,die,,,,,
Messdaten,die,,,,,
Messingtopf,der,ö-e,,,,
Messingtopf,der,ö-e,,,,
Meuterei,die,-en,,,,
Meuterei,die,-en,,,,
Miesepeter,der,-,,,,
Miesepeter,der,-,,,,
Mikroskop,das,-e,,,,
Mikroskop,das,-e,,,,
Millisekunde,die,-n,,,,
Millisekunde,die,-n,,,,
minderbemittelt,,,,,,
minderbemittelt,,,,,,
Mindestkapital,das,,,,,
Mindestkapital,das,,,,,
Mindestkapitalmenge,die,-n,,,,
Mindestkapitalmenge,die,-n,,,,
Mindestlohn,der,ö-e,,,,
Mindestlohn,der,ö-e,,,,
Mischform,die,-en,,,,
Mischform,die,-en,,,,
Mischung,die,-en,,,,
Mischung,die,-en,,,,
Misere,die,-n,,,,
Misere,die,-n,,,,
Missbildung,die,-en,,,,
Missbildung,die,-en,,,,
missbilligen,,,,,,
missbilligen,,,,,,
missglücken,,,,,,
missglücken,,,,,,
Mist,der,,,,,
Mist,der,,,,,
Mitarbeitende,der/die,-n,,,,
Mitarbeitende,der/die,-n,,,,
Mitbewerber,der,-,,,,
Mitbewerber,der,-,,,,
mitdenken,,,denkt mit,dachte mit,hat,mitgedacht
mitdenken,,,denkt mit,dachte mit,hat,mitgedacht
miteinbeziehen,,,bezieht mit ein,bezog mit ein,hat,miteinbezogen
miteinbeziehen,,,bezieht mit ein,bezog mit ein,hat,miteinbezogen
mitentscheiden,,,entscheidet mit,entschied mit,hat,mitentschieden
mitentscheiden,,,entscheidet mit,entschied mit,hat,mitentschieden
mitessen,,,isst mit,aß mit,hat,mitgegessen
mitessen,,,isst mit,aß mit,hat,mitgegessen
mitfühlen,,,,,,
mitfühlen,,,,,,
mitgeben,,,gibt mit,gab mit,hat,mitgegeben
mitgeben,,,gibt mit,gab mit,hat,mitgegeben
Mitgefühl,das,,,,,
Mitgefühl,das,,,,,
mitgestalten,,,,,,
mitgestalten,,,,,,
Mitgliedschaft,die,-en,,,,
Mitgliedschaft,die,-en,,,,
mithalten,,,hält mit,hielt mit,hat,mitgehalten
mithalten,,,hält mit,hielt mit,hat,mitgehalten
mithilfe,,,,,,
mithilfe,,,,,,
mitlächeln,,,,,,
mitlächeln,,,,,,
Mitleid,das,,,,,
Mitleid,das,,,,,
Mitmacheffekt,der,-e,,,,
Mitmacheffekt,der,-e,,,,
Mitmensch,der,-en,,,,
Mitmensch,der,-en,,,,
mitreißen,,,reißt mit,riss mit,hat,mitgerissen
mitreißen,,,reißt mit,riss mit,hat,mitgerissen
mitsamt,,,,,,
mitsamt,,,,,,
mitspielen,,,,,,
mitspielen,,,,,,
Mittelpunkt,der,-e,,,,
Mittelpunkt,der,-e,,,,
Mittvierziger,der,-,,,,
Mittvierziger,der,-,,,,
mitunter,,,,,,
mitunter,,,,,,
mitwirken,,,,,,
mitwirken,,,,,,
Mixer,der,-,,,,
Mixer,der,-,,,,
Mobilfunk,der,,,,,
Mobilfunk,der,,,,,
möglicherweise,,,,,,
möglicherweise,,,,,,
Möhrengrün,das,-s,,,,
Möhrengrün,das,-s,,,,
monoton,,,,,,
monoton,,,,,,
Moral,die,,,,,
Moral,die,,,,,
moralisch,,,,,,
moralisch,,,,,,
morden,,,,,,
morden,,,,,,
mörderisch,,,,,,
mörderisch,,,,,,
Motiv,das,-e,,,,
Motiv,das,-e,,,,
Motivation,die,-en,,,,
Motivation,die,-en,,,,
motivieren,,,,,,
motivieren,,,,,,
Motorwagen,der,ä-,,,,
Motorwagen,der,ä-,,,,
Müdigkeit,die,,,,,
Müdigkeit,die,,,,,
mühsam,,,,,,
mühsam,,,,,,
multilateral,,,,,,
multilateral,,,,,,
Multiplikator,der,-en,,,,
Multiplikator,der,-en,,,,
Multitasking,das,,,,,
Multitasking,das,,,,,
Mund,der,ü-er,,,,
Mund,der,ü-er,,,,
munter,,,,,,
munter,,,,,,
Museumspädagoge,der,-n,,,,
Museumspädagoge,der,-n,,,,
Musikalbum,das,-alben,,,,
Musikalbum,das,-alben,,,,
Musikart,die,-en,,,,
Musikart,die,-en,,,,
Musikerkollege,der,-n,,,,
Musikerkollege,der,-n,,,,
Musikkonservatorium,das,-konservatorien,,,,
Musikkonservatorium,das,-konservatorien,,,,
Musikprojekt,das,-e,,,,
Musikprojekt,das,-e,,,,
Musikstil,der,-e,,,,
Musikstil,der,-e,,,,
Musikstudium,das,-studien,,,,
Musikstudium,das,-studien,,,,
Mut,der,,,,,
Mut,der,,,,,
Mutterrolle,die,-n,,,,
Mutterrolle,die,-n,,,,
Mütze,die,-n,,,,
Mütze,die,-n,,,,
nachahmen,,,,,,
nachahmen,,,,,,
Nachbarland,das,ä-er,,,,
Nachbarland,das,ä-er,,,,
Nachbarzelle,die,-n,,,,
Nachbarzelle,die,-n,,,,
nachdenklich,,,,,,
nachdenklich,,,,,,
nachgehen,,,geht nach,ging nach,ist,nachgegangen
nachgehen,,,geht nach,ging nach,ist,nachgegangen
nachhaken,,,,,,
nachhaken,,,,,,
nachhaltig,,,,,,
nachhaltig,,,,,,
Nachkomme,der,-n,,,,
Nachkomme,der,-n,,,,
nachkommen,,,kommt nach,kam nach,ist,nachgekommen
nachkommen,,,kommt nach,kam nach,ist,nachgekommen
nachlassen,,,lässt nach,ließ nach,hat,nachgelassen
nachlassen,,,lässt nach,ließ nach,hat,nachgelassen
Niete,die,-n,,,,
Nitrat,das,-e,,,,
Norm,die,-en,,,,
Normalfall,der,ü-e,,,,
Normalo,der,-s,,,,
Normalsterbliche,der,-n,,,,
Nostalgiker,der,-,,,,
Notensystem,das,-e,,,,
Notlage,die,-n,,,,
Nutzen,der,-,,,,
Nutzer,der,-,,,,
Nutzung,die,-en,,,,
Nutzungsverhalten,das,,,,,
Oase,die,-n,,,,
oberflächlich,,,,,,
Oberhaupt,das,ä-er,,,,
Oberkörper,der,-,,,,
Objekt,das,-e,,,,
Obstbaum,der,ü-e,,,,
offenbaren,,,,,,
Offenlegung,die,-en,,,,
offensichtlich,,,,,,
offenstehen,,,steht offen,stand offen,hat,offengestanden
öffnen,,,,,,
Öffnung,die,-en,,,,
Ökonom,der,-en,,,,
Ökonomisierung,die,,,,,
Ökovollkornbrot,das,-e,,,,
Online-Shop,der,-s,,,,
Open-Air-Konzert,das,-e,,,,
Opernsänger,der,-,,,,
optimal,,,,,,
Ordnung,die,-en,,,,
Organisation,die,-en,,,,
Organisationsfähigkeit,die,-en,,,,
Organisator,der,-en,,,,
orientieren,,,,,,
Orientierung,die,,,,,
Originaltext,der,-e,,,,
Ortschaft,die,-en,,,,
ozeanblau,,,,,,
Pädagogik,die,,,,,
pädagogisch,,,,,,
Partnerschaft,die,-en,,,,
Partylöwe,der,-n,,,,
passgenau,,,,,,
Passion,die,-en,,,,
Patent,das,-e,,,,
Peeling,das,-s,,,,
perforieren,,,,,,
permanent,,,,,,
Personalabteilung,die,-en,,,,
Personalchef,der,-s,,,,
Personaler,der,-,,,,
Personalexperte,der,-n,,,,
Personalkosten,die,,,,,
Personenschaden,der,ä-,,,,
Persönlichkeit,die,-en,,,,
Perspektive,die,-n,,,,
Pestizid,das,-e,,,,
Pfad,der,-e,,,,
Pferderücken,der,-,,,,
Pflanzenstoff,der,-e,,,,
pflegen,,,,,,
Pflicht,die,-en,,,,
Phänomen,das,-e,,,,
Phrase,die,-n,,,,
phrasenhaft,,,,,,
Physiotherapeut,der,-en,,,,
physisch,,,,,,
pieksen,,,,,,
Pinnwand,die,ä-e,,,,
Placebo,das,-s,,,,
plädieren,,,,,,
Planet,der,-en,,,,
planmäßig,,,,,,
Plattenvertrag,der,ä-e,,,,
Plattform,die,-en,,,,
platzen,,,,,,
plausibel,,,,,,
Polizeibeamte,der,-n,,,,
Pommes,das,-,,,,
Porzellan,das,,,,,
Position,die,-en,,,,
positionieren,,,,,,
Postkorbübung,die,-en,,,,
Potenzial,das,-e,,,,
prädestiniert,,,,,,
praktizieren,,,,,,
Prämienzahlung,die,-en,,,,
prämiert,,,,,,
Präparat,das,-e,,,,
Prärie,die,-n,,,,
Präsente-Lager,das,-,,,,
Prävention,die,,,,,
Präventionsangebot,das,-e,,,,
Praxis,die,,,,,
Preis,der,-e,,,,
Preisdruck,der,,,,,
prellen,,,,,,
primär,,,,,,
Prinzip,das,-ien,,,,
Priorität,die,-en,,,,
Privatleben,das,,,,,
Proband,der,-en,,,,
probiotisch,,,,,,
Problem,das,-e,,,,
Produktionskosten,die,,,,,
Produktionsland,das,ä-er,,,,
Produktionsstätte,die,-n,,,,
Produktpiraterie,die,-n,,,,
Produktsicherheit,die,,,,,
Produzent,der,-en,,,,
profan,,,,,,
professionell,,,,,,
Professur,die,-en,,,,
Projektbeschreibung,die,-en,,,,
Projektidee,die,-n,,,,
promoten,,,,,,
Promotion,die,-en,,,,
promoviert,,,,,,
Prosopagnosie,die,,,,,
Prosopagnostiker,der,-,,,,
prosopagnostisch,,,,,,
Proteinhaushalt,der,-e,,,,
Provokation,die,-en,,,,
prozedural,,,,,,
Prozentsatz,der,ä-e,,,,
Prozess,der,-e,,,,
psychisch,,,,,,
Psychopath,der,-en,,,,
Psychotherapie,die,-n,,,,
Pubertät,die,-en,,,,
Public-Viewing,das,-s,,,,
Publikumsmagnet,der,-en,,,,
Punkt,der,-e,,,,
pürieren,,,,,,
Putzplan,der,ä-e,,,,
Puzzlespiel,das,-e,,,,
qualifiziert,,,,,,
qualitativ,,,,,,
Qualitätskontrolle,die,-n,,,,
Qualitätssprung,der,ü-e,,,,
Quantität,die,-en,,,,
Quelle,die,-n,,,,
Rachefeldzug,der,ü-e,,,,
rächen,,,,,,
Rahmen,der,-,,,,
Rakete,die,-n,,,,
rasant,,,,,,
rasch,,,,,,
rasen,,,,,,
Rasenmäher,der,-,,,,
Rat,der,,,,,
Ratgeberbuch,das,ü-er,,,,
Rationalisierungsmaßnahme,die,-n,,,,
ratsam,,,,,,
rätseln,,,,,,
Raubüberfall,der,ä-e,,,,
Rauchschwade,die,-n,,,,
Raum,der,ä-e,,,,
räumlich,,,,,,
Raupe,die,-n,,,,
rausbringen,,,bringt raus,brachte raus,hat,rausgebracht
rauschen,,,,,,
real,,,,,,
Realisierung,die,-en,,,,
Realisierungszeitraum,der,ä-e,,,,
Recht,das,-e,,,,
rechtfertigen,,,,,,
Rechtschreibung,die,,,,,
Rechtspflicht,die,-en,,,,
Rechtsprechung,die,-en,,,,
Rechtsverkehr,der,,,,,
rechtswidrig,,,,,,
rechtswidrig,,,,,,
Rede,die,-n,,,,
Rede,die,-n,,,,
Reduktion,die,,,,,
Reduktion,die,,,,,
Regel,die,-n,,,,
Regel,die,-n,,,,
regelrecht,,,,,,
regelrecht,,,,,,
Regelung,die,-en,,,,
Regelung,die,-en,,,,
Reggae,der,,,,,
Reggae,der,,,,,
Regierungskreis,der,-e,,,,
Regierungskreis,der,-e,,,,
Regiolekt,der,-e,,,,
Regiolekt,der,-e,,,,
Regionalkrimi,der,-s,,,,
Regionalkrimi,der,-s,,,,
Regisseur,der,-e,,,,
Regisseur,der,-e,,,,
regnerisch,,,,,,
regnerisch,,,,,,
Reich,das,-e,,,,
Reich,das,-e,,,,
Reihe,die,-n,,,,
Reihe,die,-n,,,,
Reinform,die,-en,,,,
Reinform,die,-en,,,,
reißen,,,reißt,riss,ist,gerissen
reißen,,,reißt,riss,ist,gerissen
Reiz,der,-e,,,,
Reiz,der,-e,,,,
reizen,,,,,,
reizen,,,,,,
reizvoll,,,,,,
reizvoll,,,,,,
rekonstruieren,,,,,,
rekonstruieren,,,,,,
Rekonstruktion,die,-en,,,,
Rekonstruktion,die,-en,,,,
Renaissance,die,-n,,,,
Renaissance,die,-n,,,,
Renommee,das,-s,,,,
Renommee,das,-s,,,,
Reparaturkapazität,die,-en,,,,
Reparaturkapazität,die,-en,,,,
Repertoire,das,-s,,,,
Repertoire,das,-s,,,,
Resonanz,die,-en,,,,
Resonanz,die,-en,,,,
Ressource,die,-n,,,,
Ressource,die,-n,,,,
Resümee,das,-s,,,,
Resümee,das,-s,,,,
Reue,die,,,,,
Reue,die,,,,,
Revolution,die,-en,,,,
Revolution,die,-en,,,,
revolutionieren,,,,,,
revolutionieren,,,,,,
Rheuma,das,,,,,
Rheuma,das,,,,,
Richtungswechsel,der,-,,,,
Richtungswechsel,der,-,,,,
Riesenkarton,der,-e/-s,,,,
Riesenkarton,der,-e/-s,,,,
Rinderwahn,der,,,,,
Rinderwahn,der,,,,,
robust,,,,,,
robust,,,,,,
röcheln,,,,,,
röcheln,,,,,,
rocken,,,,,,
rocken,,,,,,
rockig,,,,,,
rockig,,,,,,
Rohstoff,der,-e,,,,
Rohstoff,der,-e,,,,
Rohstoffverarbeitung,die,,,,,
Rohstoffverarbeitung,die,,,,,
Rollenbild,das,-er,,,,
Rollenbild,das,-er,,,,
Routine,die,-n,,,,
Routine,die,-n,,,,
routiniert,,,,,,
routiniert,,,,,,
Rubrik,die,-en,,,,
Rubrik,die,-en,,,,
Rückgang,der,ä-e,,,,
Rückgang,der,ä-e,,,,
Rücksichtslosigkeit,die,,,,,
Rücksichtslosigkeit,die,,,,,
Ruf,der,,,,,
Ruf,der,,,,,
Ruhe,die,,,,,
Ruhe,die,,,,,
Ruhepause,die,-n,,,,
Ruhepause,die,-n,,,,
Ruhestand,der,,,,,
Ruhestand,der,,,,,
Ruhigstellen,,,,,,
Ruhigstellen,,,,,,
