lemma,Artikel,Plural,Präteritum,Hilfsverb,PartizipII,plus
Blutzucker,der,Sg.,,,,
Blutzuckerspiegel,der,-,,,,
Bombe,die,-n,,,,
Branche,die,-n,,,,
Branchenverband,der,"""-e",,,,
breit,,,,,,
brillieren,,,,,,mit plus Dat
bringen,,,brachte,hat,gebracht,
bringen,,,brachte,hat,gebracht,
Browser,der,-,,,,
Brustkorb,der,"""-e",,,,
Buchbesprechung,die,-en,,,,
Buchdruck,der,-e,,,,
Buchseite,die,-n,,,,
Budget,das,-s,,,,
budgetverantwortlich,,,,,,
bündeln,,,,,,
Bundeskanzler/in,der/die,-/-nen,,,,
Bundesminister/in,der/die,-/-nen,,,,
Bundespolizei,die,Sg.,,,,
Bundestag,der,Sg.,,,,
Bundestagsfraktion,die,-en,,,,
Bundestagswahl,die,-en,,,,
Bundesverband,der,"""-e",,,,
bundesweit,,,,,,
Burgdame,die,-n,,,,
bürgerlich,,,,,,
Bürokauffrau,die,-en,,,,
Business-Outfit,das,-s,,,,
Camp,das,-s,,,,
Cartoon,der,-s,,,,
Catering,das,-s,,,,
Cello,das,Celli,,,,
Chancengleichheit,die,Sg.,,,,
Charakter,der,Sg.,,,,
Charakter,der,-e,,,,
charakteristisch,,,,,,
checken,,,,,,
Checkliste,die,-n,,,,
Chip,der,-s,,,,
Chronik,die,-en,,,,
chronisch,,,,,,
Coach,der,-s,,,,
Comic,der,-s,,,,
Computerspielsucht,die,Sg.,,,,
Dach,das,"""-er",,,,
daherkommen,,,kam daher,ist,dahergekommen,
Damm,der,"""-e",,,,
daraufhin,,,,,,
darüber hinaus,,,,,,
Date,das,-n,,,,
Datenschutz,der,Sg.,,,,
Datensicherheit,die,Sg.,,,,
Datumsangabe,die,-n,,,,
Dauer,die,Sg.,,,,
dauerhaft,,,,,,
Daumen,der,-,,,,
Defekt,der,-e,,,,
definieren,,,,,,
Defizit,das,-e,,,,
dekorieren,,,,,,
Demenz,die,-en,,,,
demotivieren,,,,,,
Denkpause,die,-n,,,,
Denksportaufgabe,die,-n,,,,
depressiv,,,,,,
deprimierend,,,,,,
dermaßen,,,,,,
derzeit,,,,,,
Design,das,-s,,,,
Desinteresse,das,Sg.,,,,
destruktiv,,,,,,
Detektiv/in,der/die,-e/-nen,,,,
deuten,,,,,,
Diagnose,die,-n,,,,
diagnostizieren,,,,,,
Diagramm,das,-e,,,,
Dialekt,der,-e,,,,
Diamant,der,-en,,,,
Dichter/in,der/die,-/-nen,,,,
Diebstahl,der,"""-e",,,,
Dienstleistung,die,-en,,,,
Digitalisierung,die,Sg.,,,,
Dilemma,das,-s,,,,
Diplom,das,-e,,,,
Diskriminierung,die,-en,,,,
Diskussionsbedarf,der,-e,,,,
disqualifizieren,,,,,,
distanzieren,,,,,,
Disziplin,die,-en,,,,
Dokument,das,-e,,,,
donnern,,,,,,
doof,,,,,,
Doppelklick,der,-s,,,,
dösen,,,,,,
dramatisch,,,,,,
dran,,,,,,
drauf,,,,,,
draufhauen,,,,,,
drauflos,,,,,,
dreckig,,,,,,
Drehbuchautor/in,der/die,-en/-nen,,,,
Drehbuchpreis,der,-e,,,,
drehen,,,,,,
Dringlichkeit,die,-en,,,,
Druck,der,Sg.,,,,
Druck,der,Sg.,,,,
Druck,der,"""-e",,,,
Drucktafel,die,-n,,,,
durcharbeiten,,,,,,
durchaus,,,,,,
Durchbruch,der,"""-e",,,,
durchführbar,,,,,,
Durchführung,die,-en,,,,
durchhalten,,,hielt durch,hat,durchgehalten,
Durchmesser,der,-,,,,
Durchschnitt,der,Sg.,,,,
durchsetzen,,,,,,
durchsichtig,,,,,,
Durchwahl,die,-en,,,,
Dürreperiode,die,-n,,,,
EDV,die,Sg.,,,,
EDV-Kenntnisse,die,Sg.,,,,
Effekt,der,-e,,,,
E-Gitarre,die,-n,,,,
Ehrentag,der,-e,,,,
Eidechse,die,-n,,,,
Eifer,der,Sg.,,,,
Eifersucht,die,"""-e",,,,
eifersüchtig,,,,,,
Eigeninitiative,die,Sg.,,,,
eigensinnig,,,,,,
eigenständig,,,,,,
eilig,,,,,,
einatmen,,,,,,
einbringen,,,brachte ein,hat,eingebracht,
Einbruch,der,"""-e",,,,
eindeutig,,,,,,
Eindruck,der,"""-e",,,,
Einfluss,der,"""-e",,,,
einfrieren,,,fror ein,hat,eingefroren,
Einfuhr,die,-en,,,,
einführen,,,,,,
Eingangstür,die,-en,,,,
eingeben,,,gab ein,hat,eingegeben,
eingehen,,,,,,
eingehen,,,ging ein,ist,eingegangen,
eingerechnet,,,,,,
eingestehen,,,,,,
eingrenzen,,,,,,
einheitlich,,,,,,
einholen,,,,,,
einig,,,,,,
einlassen,,,,,,
einleben,,,,,,
einlenken,,,,,,
einleuchtend,,,,,,
Einnahme,die,Sg.,,,,
einpflanzen,,,,,,
einplanen,,,,,,
einprägen,,,,,,
einräumen,,,,,,
Einreise,die,Sg.,,,,
einrichten,,,,,,
Einrichtung,die,-en,,,,
Einsatz,der,"""-e",,,,
Einsatzmöglichkeit,die,-en,,,,
Einschränkung,die,-en,,,,
einsehen,,,sah ein,hat,einge-sehen,
einsprachig,,,,,,
einstecken,,,,,,
einstellen,,,,,,
einstellen,,,,,,
einstellen,,,,,,
einstürzen,,,,,,
eintauchen,,,,,,
einteilen,,,,,,
Eintragung,die,-en,,,,
eintreten,,,trat ein,ist,eingetreten,
einverstanden sein,,,,,,
Einwanderer/Einwanderin,der/die,-/-nen,,,,
einwandfrei,,,,,,
einwerfen,,,warf ein,hat,eingeworfen,
Einzelfall,der,"""-e",,,,
Elektrizität,die,Sg.,,,,
Elite,die,-n,,,,
Emotion,die,-en,,,,
Empathie,die,-n,,,,
empfinden,,,empfand,hat,empfunden,
Empfindung,die,-en,,,,
Empörung,die,Sg.,,,,
endgültig,,,,,,
Endorphin,das,-e,,,,
energiesparend,,,,,,
enorm,,,,,,
Entdecker/in,der/die,-/-nen,,,,
entfalten,,,,,,
Entfernung,die,-en,,,,
entfliehen,,,entfloh,ist,entflohen,
entführen,,,,,,
entgegenbringen,,,brachte entgegen,hat,entgegengebracht,
entgegensehen,,,sah entgegen,hat,entgegengesehen,
entlassen,,,entließ,hat,entlassen,
entlaufen,,,entlief,ist,entlaufen,
entscheidend,,,,,,
Entscheidung,die,-en,,,,
Entscheidung,die,-en,,,,
entspannt,,,,,,
entsprechend,,,,,,
entstammen,,,,,,
entstehen,,,entstand,ist,entstanden,
Entstehung,die,-en,,,,
entwickeln,,,,,,
Entwicklungsperspektive,die,-n,,,,
Epidemie,die,-n,,,,
erachten,,,,,,
Erachten,das,Sg.,,,,
erben,,,,,,
ereignen,,,,,,
Erfahrung,die,-en,,,,
Erfahrung,die,-en,,,,
Erfahrung,die,-en,,,,
erfassen,,,,,,
Erfinder/in,der/die,-/-nen,,,,
Erfindungsreichtum,der,Sg.,,,,
erfolgen,,,,,,
erfolglos,,,,,,
erfüllen,,,,,,
ergeben,,,,,,
ergehen,,,erging,ist,ergangen,
ergreifen,,,ergriff,hat,ergriffen,
erhalten,,,erhielt,hat,erhalten,
erhalten,,,erhielt,hat,erhalten,
erhoffen,,,,,,
erhöhen,,,,,,
erkennbar,,,,,,
Erkenntnis,die,-se,,,,
Erledigung,die,-en,,,,
ermöglichen,,,,,,
Ermunterung,die,-en,,,,
ernennen,,,,,,
erneut,,,,,,
ernst meinen,,,,,,
Ernte,die,-n,,,,
eröffnen,,,,,,
erpressen,,,,,,
Erpressung,die,-en,,,,
erregen,,,,,,
erreichbar,,,,,,
errichten,,,,,,
Ersatz,der,Sg.,,,,
erschreckend,,,,,,
ersetzen,,,,,,
erstarren,,,,,,
erstatten,,,,,,
erstaunlich,,,,,,
erstrebenswert,,,,,,
ertragen,,,ertrug,hat,ertragen,
erträglich,,,,,,
erwähnen,,,,,,
Erwartung,die,-en,,,,
erwecken,,,,,,
erweitern,,,,,,
erwerben,,,erwarb,hat,erworben,
Erwerbsarbeit,die,-en,,,,
Erwerbstätigkeit,die,-en,,,,
erwischen,,,,,,
erzeugen,,,,,,
Erzeugung,die,Sg.,,,,
Erziehungsfragen,die,,,,,
erzwingen,,,erzwang,hat,erzwungen,
Essayist/in,der/die,-en/-nen,,,,
Event,das,-s,,,,
Eventmanagement,das,Sg.,,,,
Eventmanager/in,der/die,-/-nen,,,,
Eventmarketing,das,Sg.,,,,
Evolution,die,Sg.,,,,
Examen,das,-,,,,
existieren,,,,,,
Expedition,die,-en,,,,
Experiment,das,-e,,,,
experimentieren,,,,,,
expressionistisch,,,,,,
fachlich,,,,,,
Fachwelt,die,Sg.,,,,
Fairness,die,Sg.,,,,
Fakt,der,-en,,,,
fallen,,,fiel,ist,gefallen,
fallen,,,fiel,ist,gefallen,
fällen,,,,,,
fälschlicherweise,,,,,,
Familienbesuch,der,-e,,,,
Familiengründung,die,Sg.,,,,
Fantasiewelt,die,-en,,,,
farbenfroh,,,,,,
fassen,,,,,,
Faszination,die,Sg.,,,,
Faulenzertum,das,Sg.,,,,
Faust,die,"""-e",,,,
Faustregel,die,-n,,,,
Fazit,das,-s,,,,
Feedback,das,-s,,,,
fehlen,,,,,,
Fehlentscheidung,die,-en,,,,
fehlerlos,,,,,,
fein,,,,,,
Feind/in,der/die,-e/-nen,,,,
Feldtheorie,die,-n,,,,
fernliegen,,,lag fern,hat,ferngelegen,
Fernweh,das,Sg.,,,,
Fertigstellung,die,Sg.,,,,
festhalten,,,hielt fest,hat,festgehalten,
festlegen,,,,,,
Festspiel,das,-e,,,,
feststellen,,,,,,
Feststellung,die,-en,,,,
Feuerholz,das,Sg.,,,,
Feuerwerk,das,-e,,,,
Feuilleton,der,-s,,,,
Feuilletonist/in,der/die,-en/-nen,,,,
Fieberthermometer,das,-,,,,
Filmregisseur/in,der/die,-e/-nen,,,,
filmreif,,,,,,
final,,,,,,
Finanzkrise,die,-n,,,,
Fingerspitzengefühl,das,Sg.,,,,
Firewall,die,-s,,,,
Firmenkultur,die,Sg.,,,,
Fischer/in,der/die,-/-nen,,,,
flechten,,,flocht,hat,geflochten,
fluchen,,,,,,
Flucht,die,-en,,,,
Flüchtling,der,-e,,,,
Flügel,der,-,,,,
Flügel,der,-,,,,
Flyer,der,-,,,,
folglich,,,,,,
Fördermaßnahme,die,-n,,,,
Forelle,die,-n,,,,
Forscher/in,der/die,-/-nen,,,,
Forschungseinrichtung,die,-en,,,,
Forschungsteam,das,-s,,,,
Forumsbeitrag,der,"""-e",,,,
fraglich,,,,,,
Frauensache,die,Sg.,,,,
Frauenzeitschrift,die,-en,,,,
freihalten,,,hielt frei,hat,freigehalten,
Freizeitkleidung,die,Sg.,,,,
Freundlichkeit,die,-en,,,,
freundschaftlich,,,,,,
Friedhof,der,"""-e",,,,
friedlich,,,,,,
Frühbucherrabatt,der,-e,,,,
frustriert,,,,,,
führen,,,,,,
führen,,,,,,
Führung,die,-en,,,,
Führungszeugnis,das,-se,,,,
füllig,,,,,,
fürsorglich,,,,,,
fusionieren,,,,,,
Galerist/in,der/die,-en/-nen,,,,
Gangsterkino,das,Sg.,,,,
Gänsehaut,die,Sg.,,,,
Garn,das,-e,,,,
Gealterte,der/die,-n,,,,
Gebärdensprache,die,Sg.,,,,
geben,,,gab,hat,gegeben,
geben,,,gab,hat,gegeben,
geben,,,gab,hat,gegeben,
geben,,,gab,hat,gegeben,
geben,,,gab,hat,gegeben,
Gebildete,der/die,-n,,,,
Gebirge,das,-,,,,
gebraucht,,,,,,
Gebühr,die,-en,,,,
gebürtig,,,,,,
gedacht,,,,,,
Gedächtnis,das,-se,,,,
Gedächtnisinhalt,der,-e,,,,
Gedankenschritt,der,-e,,,,
geduldig,,,,,,
Gefahr,die,-en,,,,
gefährdet,,,,,,
gefragt sein,,,,,,
gegenständlich,,,,,,
Gegenüber,das,-,,,,
Gegner/in,der/die,-/-nen,,,,
gehen,,,ging,ist,gegangen,
gehen,,,ging,ist,gegangen,
Gehilfe/Gehilfin,der/die,-n/-nen,,,,
Gehirn,das,-e,,,,
Gehirnaktivität,die,-en,,,,
Gehirnregion,die,-en,,,,
gehoben,,,,,,
Gehweg,der,-e,,,,
Geist,der,-er,,,,
geistig,,,,,,
Gelände,das,-,,,,
Geldbörse,die,-n,,,,
gelegentlich,,,,,,
Gelenkschmerzen,die,,,,,
gelungen,,,,,,
Gemälde,das,-,,,,
Gemälderaub,der,-e,,,,
gemein,,,,,,
Gemeinschaft,die,-en,,,,
Gemüsebeet,das,-e,,,,
Gemüsegeschäft,das,-e,,,,
Genauigkeit,die,Sg.,,,,
Genehmigung,die,-en,,,,
Generation,die,-en,,,,
Generationenwohnprojekt,das,-e,,,,
Genie,das,-s,,,,
genügend,,,,,,
Genuss,der,"""-e",,,,
Gepäckermittler/in,der/die,-/-nen,,,,
gepflegt,,,,,,
geprägt,,,,,,
geraten,,,geriet,ist,geraten,
Gerechtigkeitssinn,der,Sg.,,,,
Gericht,das,-e,,,,
Geringverdiener/in,der/die,-/-nen,,,,
Geruch,der,"""-e",,,,
Geruchssinn,der,Sg.,,,,
gesamt,,,,,,
Gesamtwiederholung,die,-en,,,,
Geschäftsbedingungen,die,,,,,
Geschäftsbeziehung,die,-en,,,,
Geschäftsführer/in,der/die,-/-nen,,,,
Geschäftsleitung,die,-en,,,,
Geschäftsmodell,das,-e,,,,
Geschäftsverhandlung,die,-en,,,,
Geschick,das,-e,,,,
geschützt,,,,,,
