lemma,Artikel,Plural,Präteritum,Hilfsverb,PartizipII,plus
Scheinehe,die,-n,,,,
scheitern,,,,,,
scheren,,,,,,
Scheu,die,Sg.,,,,
Schicksal,das,-e,,,,
Schicksalsschlag,der,"""-e",,,,
schildern,,,,,,
Schläfchen,das,-,,,,
Schlafexperte/Schlafexpertin,der/die,-n/-nen,,,,
Schlaflabor,das,-e,,,,
schlaflos,,,,,,
Schlafmangel,der,Sg.,,,,
Schlafraum,der,"""-e",,,,
Schlafstörung,die,-en,,,,
Schlag,der,"""-e",,,,
Schlaganfall,der,"""-e",,,,
schlagartig,,,,,,
schlagen,,,schlug,hat,geschlagen,
schlagen,,,schlug,hat,geschlagen,
schleichen,,,schlich,ist,geschlichen,
schließen,,,,,,
schließen,,,schloss,hat,geschlossen,
Schließung,die,-en,,,,
Schließzylinder,der,-,,,,
schlimmstenfalls,,,,,,
Schlossanlage,die,-n,,,,
Schlossbesichtigung,die,-en,,,,
Schlossbesucher/in,der/die,-/-nen,,,,
Schlossgarten,der,"""-",,,,
schlummerlos,,,,,,
schlüpfen,,,,,,
Schlüsselwort,das,"""-er",,,,
Schlussformel,die,-n,,,,
schmeißen,,,,,,
Schmerzempfinden,das,Sg.,,,,
schmerzlindernd,,,,,,
schmerzlos,,,,,,
Schmetterling,der,-e,,,,
Schmied/in,der/die,-e/-nen,,,,
Schnäppchen,das,-,,,,
schnappen,,,,,,
Schneeball,der,"""-e",,,,
Schneider/in,der/die,-/-nen,,,,
Schnelligkeit,die,Sg.,,,,
Schnitt,der,-e,,,,
schnitzen,,,,,,
Schranke,die,-n,,,,
schrecklich,,,,,,
Schreibtischplatte,die,-n,,,,
Schriftsteller/in,der/die,-/-nen,,,,
Schriftzeichen,das,-,,,,
schrumpfen,,,,,,
Schuhabdruck,der,"""-e",,,,
Schulabschluss,der,"""-e",,,,
Schulden,die,,,,,
Schulpflicht,die,Sg.,,,,
Schuluniform,die,-en,,,,
Schulzeit,die,Sg.,,,,
schützenswert,,,,,,
schutzlos,,,,,,
Schutzmaßnahme,die,-n,,,,
schwach,,,,,,
Schwäche,die,-n,,,,
Schwager/Schwägerin,der/die,"""-/-nen",,,,
Schwarm,der,"""-e",,,,
schwarz,,,,,,
schwerelos,,,,,,
schwerfallen,,,fiel schwer,ist,schwergefallen,
Schwiegermutter,die,"""-",,,,
Schwimmer/in,der/die,-/-nen,,,,
schwindeln,,,,,,
schwitzen,,,,,,
schwören,,,schwor,hat,geschworen,
Seele,die,-n,,,,
sehnen,,,,,,
sehnsüchtig,,,,,,
Seite,die,-n,,,,
Seite,die,-n,,,,
Selbstbeherrschung,die,-en,,,,
selbstbewusst,,,,,,
Selbstbewusstsein,das,Sg.,,,,
Selbstdarstellung,die,-en,,,,
selbstsicher,,,,,,
seltsam,,,,,,
Seminar,das,-e,,,,
Senior/in,der/die,-en/-nen,,,,
senken,,,,,,
Sensation,die,-en,,,,
seriös,,,,,,
Service-Unternehmen,das,-,,,,
setzen,,,,,,
setzen,,,,,,
Shampoo,das,-s,,,,
shoppen,,,,,,
Shopping,das,Sg.,,,,
Sicherheitsleiter/in,der/die,-/-nen,,,,
sicherlich,,,,,,
sicherstellen,,,,,,
Sicht,die,-en,,,,
sichtbar,,,,,,
siegessicher,,,,,,
Signal,das,-e,,,,
Silber,das,-,,,,
Silvester,das,-,,,,
simpel,,,,,,
Sinn,der,-e,,,,
sinnvoll,,,,,,
Sitzung,die,-en,,,,
Skepsis,die,Sg.,,,,
skeptisch,,,,,,
smart,,,,,,
Snack,der,-s,,,,
Snowboard,das,-s,,,,
sogenannt,,,,,,
solide,,,,,,
Sonnencreme,die,-s,,,,
Sonnenfinsternis,die,Sg.,,,,
Sonnenlicht,das,-er,,,,
sowieso,,,,,,
sozial,,,,,,
Sozialforschung,die,-en,,,,
Sozialhilfeempfänger/in,der/die,-/-nen,,,,
sozialistisch,,,,,,
Sozialwissenschaft,die,-en,,,,
sozusagen,,,,,,
Spalte,die,-n,,,,
Speck,der,Sg.,,,,
Spende,die,-n,,,,
spenden,,,,,,
Spendenbereitschaft,die,Sg.,,,,
sperren,,,,,,
sperren,,,,,,
Spezies,die,Spezien,,,,
Spielfilm,der,-e,,,,
Spielraum,der,"""-e",,,,
Spielregel,die,-n,,,,
Sponsor/in,der/die,-en/-nen,,,,
spontan,,,,,,
Sportereignis,das,-se,,,,
Sportpensum,das,-pensen,,,,
Sportveranstaltung,die,-en,,,,
Spott,der,Sg.,,,,
Sprachenpolitik,die,Sg.,,,,
Sprachensterben,das,Sg.,,,,
Sprachentwicklung,die,-en,,,,
Sprachenvielfalt,die,Sg.,,,,
Sprachforscher/in,der/die,-/-nen,,,,
Sprachgebiet,das,-e,,,,
Sprachkenntnisse,die,,,,,
Sprachregion,die,-en,,,,
Sprachschatz,der,Sg.,,,,
Sprachstörung,die,-en,,,,
Sprachwissenschaftler/in,der/die,-/-nen,,,,
Sprichwort,das,"""-er",,,,
spritzen,,,,,,
Spruch,der,"""-e",,,,
sprühen,,,,,,
spüren,,,,,,
Staatsbesuch,der,-e,,,,
Staatschef/in,der/die,-s/-nen,,,,
Staatsfeiertag,der,-e,,,,
Staatsführer/in,der/die,-/-nen,,,,
Staatsgeschäfte,die,,,,,
Stadtbibliothek,die,-en,,,,
Stamm,der,"""-e",,,,
Stand,der,"""-e",,,,
ständig,,,,,,
Standpunkt,der,-e,,,,
stapfen,,,,,,
stärken,,,,,,
Startchance,die,-n,,,,
Startseite,die,-n,,,,
Start-up,das,-s,,,,
statistisch,,,,,,
stattdessen,,,,,,
Staubschicht,die,-en,,,,
staunen,,,,,,
stecken,,,,,,
stehen,,,stand,hat,gestanden,
stehen,,,stand,hat,gestanden,
stehen,,,stand,hat,gestanden,
steigern,,,,,,
Stein,der,-e,,,,
stellen,,,,,,
stellen,,,,,,
stellen,,,,,,
stellen,,,,,,
stellen,,,,,,
Stellenanzeige,die,-n,,,,
Stellenausschreibung,die,-en,,,,
Stellenwechsel,der,-,,,,
Stellung,die,-en,,,,
Stellungnahme,die,-n,,,,
stellvertretend,,,,,,
Stellvertreter/in,der/die,-/-nen,,,,
stetig,,,,,,
stets,,,,,,
steuern,,,,,,
stimmen,,,,,,
stimmen,,,,,,
Stoffwechsel,der,-,,,,
Stopp,der,-s,,,,
Straftat,die,-en,,,,
Strandurlaub,der,-e,,,,
Strategie,die,-n,,,,
sträuben,,,,,,
Strauß,der,"""-e",,,,
Strecke,die,-n,,,,
streiken,,,,,,
strikt,,,,,,
Stromleitung,die,-en,,,,
Strömung,die,-en,,,,
Struktur,die,-en,,,,
strukturiert,,,,,,
Strukturierung,die,-en,,,,
Studentenwohnheim,das,-e,,,,
Stuntman/Stuntfrau,der/die,-men/-en,,,,
Stuntschule,die,-n,,,,
stürmen,,,,,,
Suchmaschine,die,-n,,,,
Sucht,die,"""-e",,,,
Suchtkrankheit,die,-en,,,,
Summe,die,-n,,,,
surreal,,,,,,
symbolisch,,,,,,
Sympathie,die,-n,,,,
Synonym,das,-e,,,,
systematisch,,,,,,
Taekwondo,das,Sg.,,,,
Tagebuch,das,"""-er",,,,
Tagesausflug,der,"""-e",,,,
tagsüber,,,,,,
Takt,der,-e,,,,
Talent,das,-e,,,,
talentlos,,,,,,
talentvoll,,,,,,
tatenlos,,,,,,
Tatsache,die,-n,,,,
tatsächlich,,,,,,
taufen,,,,,,
Täuschung,die,-en,,,,
Teambesprechung,die,-en,,,,
Teambildung,die,-en,,,,
Teambildungsaktivität,die,-en,,,,
Teamevent,das,-s,,,,
teamfähig,,,,,,
Teamfähigkeit,die,Sg.,,,,
Teamgeist,der,Sg.,,,,
Techniker/in,der/die,-/-nen,,,,
Technikkonzern,der,-e,,,,
Technologie,die,-n,,,,
Teilthema,das,-themen,,,,
Teilung,die,-en,,,,
Telefonist/in,der/die,-en/-nen,,,,
Telemedizin,die,Sg.,,,,
Tendenz,die,-en,,,,
Tennisplatz,der,"""-e",,,,
Tennisprofi,der,-s,,,,
Terminkalender,der,-,,,,
Terminvorschlag,der,"""-e",,,,
Terrakottafliese,die,-n,,,,
Textilbereich,der,-e,,,,
Textilhersteller,der,-,,,,
Textilie,die,-n,,,,
Textilunternehmer/in,der/die,-/-nen,,,,
Textstelle,die,-n,,,,
Textzusammenhang,der,"""-e",,,,
Theaterstück,das,-e,,,,
thematisieren,,,,,,
Themen-Tour,die,-en,,,,
Theologie,die,Sg.,,,,
Theorie,die,-n,,,,
Therapeut/in,der/die,-en/-nen,,,,
Thron,der,-e,,,,
ticken,,,,,,
Tiergarten,der,"""-",,,,
Tiergehege,das,-,,,,
Tierspur,die,-en,,,,
Todesurteil,das,-e,,,,
Toilettenspülung,die,-en,,,,
Ton,der,"""-e",,,,
touren,,,,,,
tragen,,,trug,hat,getragen,
Träne,die,-n,,,,
Tränenflüssigkeit,die,-en,,,,
Tränensack,der,"""-e",,,,
Transparenz,die,Sg.,,,,
Traubenzucker,der,-,,,,
Trauer,die,Sg.,,,,
treffen,,,traf,hat,getroffen,
treiben,,,trieb,hat,getrieben,
Trendforscher/in,der/die,-/-nen,,,,
trennbar,,,,,,
treu,,,,,,
Treue,die,Sg.,,,,
Trophäe,die,-n,,,,
trösten,,,,,,
Tunnel,der,-s,,,,
Türenknallen,das,Sg.,,,,
Türflügel,der,-,,,,
Turnier,das,-e,,,,
Turnschuh,der,-e,,,,
üben,,,,,,
überaus,,,,,,
Überblick,der,Sg.,,,,
übereinander,,,,,,
übereinstimmen,,,,,,
überfordern,,,,,,
übergeben,,,übergab,hat,übergeben,
überlassen,,,überließ,hat,überlassen,
überlastet,,,,,,
überleben,,,,,,
überlebenswichtig,,,,,,
Überlegung,die,-en,,,,
überregional,,,,,,
Überrest,der,-e,,,,
überschatten,,,,,,
überschüssig,,,,,,
übersehen,,,übersah,hat,übersehen,
übersetzbar,,,,,,
übersichtlich,,,,,,
Übertragung,die,-en,,,,
Übertreibung,die,-en,,,,
übertrieben,,,übertrieb,hat,übertrieben,
überwachen,,,,,,
überwiegend,,,,,,
überwinden,,,überwand,hat,überwunden,
Überzeugungskraft,die,"""-e",,,,
üblich,,,,,,
übrigens,,,,,,
umbringen,,,brachte um,hat,umgebracht,
umfallen,,,fiel um,ist,umgefallen,
Umfang,der,"""-e",,,,
umfangreich,,,,,,
Umfeld,das,-er,,,,
Umgang,,,,,,
umgangssprachlich,,,,,,
Umgangston,der,"""-e",,,,
umgehen,,,,,,
umgehen,,,ging um,ist,umgegangen,
umgestalten,,,,,,
Umkreis,der,-e,,,,
umrunden,,,,,,
Umschulung,die,-en,,,,
umsetzen,,,,,,
Umsteigebahnhof,der,"""-e",,,,
Umsteigeweg,der,-e,,,,
umstritten,,,,,,
umweltverträglich,,,,,,
unangebracht,,,,,,
unangemessen,,,,,,
unbedingt,,,,,,
unbewusst,,,,,,
unbezahlt,,,,,,
undenkbar,,,,,,
Unendlichkeit,die,Sg.,,,,
unentgeltlich,,,,,,
unentschlossen,,,,,,
unerfüllt,,,,,,
unerwartet,,,,,,
Unfreiheit,die,Sg.,,,,
ungebräuchlich,,,,,,
ungebrochen,,,,,,
ungefragt,,,,,,
ungehindert,,,,,,
ungehört,,,,,,
ungeliebt,,,,,,
ungeschlagen,,,,,,
ungewiss,,,,,,
unglaubwürdig,,,,,,
unleserlich,,,,,,
unpassend,,,,,,
unsterblich,,,,,,
Unstimmigkeit,die,-en,,,,
Unterdrückung,die,-en,,,,
unterfordern,,,,,,
untergehen,,,ging unter,ist,untergegangen,
Unterhalt,der,Sg.,,,,
Unterhaltungswert,der,Sg.,,,,
Unternehmen,das,-,,,,
Unternehmer/in,der/die,-/-nen,,,,
Unterteilung,die,-en,,,,
untertreiben,,,untertrieb,hat,untertrieben,
unverändert,,,,,,
unverschlossen,,,,,,
Unverständnis,das,Sg.,,,,
unverzichtbar,,,,,,
unzählig,,,,,,
üppig,,,,,,
Urteilsvermögen,das,Sg.,,,,
vehement,,,,,,
Verabschiedung,die,-en,,,,
Verabschiedungshalle,die,-n,,,,
verallgemeinern,,,,,,
Veränderung,die,-en,,,,
verankern,,,,,,
veranstalten,,,,,,
Veranstalter/in,der/die,-/-nen,,,,
Veranstaltungsagentur,die,-en,,,,
Veranstaltungskonzept,das,-e,,,,
verantworten,,,,,,
verarbeiten,,,,,,
Verarbeitung,die,-en,,,,
verärgern,,,,,,
Verärgerung,die,-en,,,,
Verband,der,"""-e",,,,
verbauen,,,,,,
verbergen,,,verbarg,hat,verborgen,
Verbesserung,die,-en,,,,
verbleiben,,,verblieb,ist,verblieben,
Verbrechen,das,-,,,,
verbreiten,,,,,,
verbreitet,,,,,,
Verbreitung,die,-en,,,,
verbunden,,,,,,
Verdächtige,der/die,-n,,,,
verdächtigen,,,,,,
verdeckt,,,,,,
verderblich,,,,,,
verdrängen,,,,,,
Vereinbarkeit,die,Sg.,,,,
vereinen,,,,,,
vererben,,,,,,
Verfahren,das,-,,,,
verfolgen,,,,,,
verfügen,,,,,,
Verfügung,die,Sg.,,,,
Verfügung,die,Sg.,,,,
vergangen,,,,,,
vergehen,,,verging,ist,vergangen,
vergewissern,,,,,,
vergießen,,,vergoss,hat,vergossen,
Vergnügen,das,-,,,,
vergolden,,,,,,
Verhaltensregel,die,-n,,,,
Verhältnis,das,-se,,,,
Verhandlung,die,-en,,,,
Verhandlungsgeschick,das,Sg.,,,,
verhandlungssicher,,,,,,
verhindern,,,,,,
Verkaufsassistent/in,der/die,-en/-nen,,,,
Verkaufsausstellung,die,-en,,,,
Verkehrsschild,das,-er,,,,
verlagern,,,,,,
verlangen,,,,,,
verlässlich,,,,,,
Verlauf,der,"""-e",,,,
verlaufen,,,verlief,ist,verlaufen,
verleihen,,,verlieh,hat,verliehen,
verleihen,,,verlieh,hat,verliehen,
Verlierer/in,der/die,-/-nen,,,,
vermehren,,,,,,
vermehrt,,,,,,
vermessen,,,vermaß,hat,vermessen,
Vermieter/in,der/die,-/-nen,,,,
vermitteln,,,,,,
Vermögen,das,-,,,,
vernichten,,,,,,
vernünftig,,,,,,
veröffentlichen,,,,,,
Verpackung,die,-en,,,,
verpennen,,,,,,
verraten,,,verriet,hat,verraten,
Versandkosten,die,,,,,
Versandrisiko,das,-risiken,,,,
verschaffen,,,,,,
verschaffen,,,,,,
verschärfen,,,,,,
Verschlüsselung,die,-en,,,,
verschuldet,,,,,,
Verschwendung,die,-en,,,,
versetzen,,,,,,
versinken,,,versank,ist,versunken,
Versorgung,die,-en,,,,
Verstand,der,Sg.,,,,
Verständlichkeit,die,Sg.,,,,
verstärken,,,,,,
verstärkt,,,,,,
versterben,,,verstarb,ist,verstorben,
Versuchsgruppe,die,-n,,,,
Versuchsperson,die,-en,,,,
Versuchsreihe,die,-n,,,,
Verteilung,die,-en,,,,
vertiefen,,,,,,
vertonen,,,,,,
vertraut,,,,,,
Vertrautheit,die,Sg.,,,,
vertreiben,,,vertrieb,hat,vertrieben,
vertreten,,,vertrat,hat,vertreten,
Vertreter/in,der/die,-/-nen,,,,
verunsichern,,,,,,
verwählen,,,,,,
verwahrlost,,,,,,
verwalten,,,,,,
Verwaltung,die,-en,,,,
Verwaltungssprache,die,-n,,,,
verwandeln,,,,,,
Verwandtschaft,die,,,,,
verwechseln,,,,,,
verweisen,,,,,,
verwöhnen,,,,,,
verwunderlich,,,,,,
verzweifelt,,,,,,
Verzweiflung,die,Sg.,,,,
verzwickt,,,,,,
vielbeschäftigt,,,,,,
vielfach,,,,,,
Vielfalt,die,Sg.,,,,
vielmehr,,,,,,
vielsprachig,,,,,,
Vielsprachigkeit,die,Sg.,,,,
Vielzahl,die,Sg.,,,,
Virenschutzprogramm,das,-e,,,,
virtuell,,,,,,
Virus,der,Viren,,,,
Visabestimmungen,die,,,,,
Vision,die,-en,,,,
visuell,,,,,,
Volk,das,"""-er",,,,
Volkslied,das,-er,,,,
voller,,,,,,
völlig,,,,,,
vollkommen,,,,,,
vollständig,,,,,,
Volontariat,das,-e,,,,
vorangegangen,,,,,,
voranstellen,,,,,,
vorausdenken,,,dachte voraus,hat,vorausgedacht,
vorausgehen,,,ging voraus,ist,vorausgegangen,
voraussetzen,,,,,,
Voraussetzung,die,-en,,,,
voraussichtlich,,,,,,
Vorbild,das,-er,,,,
vorbildlich,,,,,,
Vordergrund,der,"""-e",,,,
vordergründig,,,,,,
Vorgang,der,"""-e",,,,
vorgeben,,,gab vor,hat,vorgegeben,
vorgehen,,,ging vor,ist,vorgegangen,
Vorgesetzte,der/die,-n,,,,
vorhanden,,,,,,
vorhersagen,,,,,,
vorkommen,,,kam vor,ist,vorgekommen,
vorkommen,,,kam vor,ist,vorgekommen,
vorleben,,,,,,
Vorlesung,die,-en,,,,
Vorliebe,die,,,,,
Vormarsch,der,"""-e",,,,
Vormund,der,-e,,,,
vorsprechen,,,sprach vor,hat,vorgesprochen,
Vorstellung,die,-en,,,,
Vorstellungsgespräch,das,-e,,,,
Vortrag,der,"""-e",,,,
vortragen,,,trug vor,hat,vorgetragen,
Vortragsreihe,die,-n,,,,
vorüber,,,,,,
Vorwarnung,die,-en,,,,
Vorwurf,der,"""-e",,,,
Vorzug,der,"""-e",,,,
Vulkanausbruch,der,"""-e",,,,
wach halten,,,hielt wach,hat,wachgehalten,
Wachturm,der,"""-e",,,,
wackeln,,,,,,
wacklig,,,,,,
Waffe,die,-n,,,,
wagen,,,,,,
Wahl,die,-en,,,,
wahrnehmen,,,nahm wahr,hat,wahrgenommen,
Wahrnehmung,die,-en,,,,
Wahrnehmungsbereich,der,-e,,,,
Waise,der/die,-n,,,,
wälzen,,,,,,
Walzer,der,-,,,,
Wandel,der,-,,,,
Wanderarbeiter/in,der/die,-/-nen,,,,
Wange,die,-n,,,,
Warnsignal,das,-e,,,,
Wartezeit,die,-en,,,,
Wartezimmer,das,-,,,,
Webseite,die,-n,,,,
Wechsel,der,-,,,,
wechseln,,,,,,
Weg,der,-e,,,,
Weg,der,-e,,,,
wegbleiben,,,blieb weg,ist,weggeblieben,
wegfallen,,,fiel weg,ist,weggefallen,
wegkommen,,,kam weg,ist,weggekommen,
wegwerfen,,,warf weg,hat,weggeworfen,
Weiche,die,-n,,,,
weisen,,,wies,hat,gewiesen,
weisen,,,wies,hat,gewiesen,
weitergeben,,,,,,
weitergehen,,,ging weiter,ist,weitergegangen,
weiterhin,,,,,,
Welt,die,-en,,,,
Weltbank,die,-en,,,,
weltbekannt,,,,,,
Weltbild,das,-er,,,,
Welterbe,das,Sg.,,,,
Weltformel,die,-n,,,,
Weltgeschichte,die,Sg.,,,,
Weltkulturerbe,das,Sg.,,,,
Weltmeistertitel,der,-,,,,
Wende,die,Sg.,,,,
wenden,,,,,,
Werbeagentur,die,-en,,,,
Werbeanzeige,die,-n,,,,
Werbegrafik,die,-en,,,,
werben,,,,,,
Werbepartner/in,der/die,-/-nen,,,,
werfen,,,warf,hat,geworfen,
Wert,der,-e,,,,
Wert,der,-e,,,,
Wertewandel,der,-,,,,
Wertschätzung,die,Sg.,,,,
wesentlich,,,,,,
Weste,die,-n,,,,
Wette,die,-n,,,,
Wichtigkeit,die,Sg.,,,,
widerrufen,,,widerrief,hat,widerrufen,
widmen,,,,,,
wiedererkennen,,,erkannte wieder,hat,wiedererkannt,
wiedertreffen,,,traf wieder,hat,wiedergetroffen,
Wiedervereinigung,die,-en,,,,
wild,,,,,,
Windel,die,-n,,,,
Windeseile,die,Sg.,,,,
Wirkung,die,-en,,,,
wirkungsvoll,,,,,,
wirtschaftlich,,,,,,
Wirtschaftsprozess,der,-e,,,,
Wirtschaftssektor,der,-en,,,,
Wissensbeschaffung,die,Sg.,,,,
Wissenschaftler/in,der/die,-/-nen,,,,
Wissenschaftssprache,die,-n,,,,
Wissenschaftszentrum,das,-zentren,,,,
Wissensmanager/in,der/die,-/-nen,,,,
Witwer/Witwe,der/die,-n/-nen,,,,
witzig,,,,,,
Wochenendbeziehung,die,-en,,,,
wohltuend,,,,,,
wohlwollend,,,,,,
Wohnform,die,-en,,,,
Wohnsitz,der,-e,,,,
Wohnungssuche,die,-n,,,,
wundervoll,,,,,,
Wunsch,der,"""-e",,,,
wünschenswert,,,,,,
würdigen,,,,,,
Wüste,die,-n,,,,
Wut,,,,,,
Zahlungsmöglichkeit,die,-en,,,,
Zahnpastatube,die,-n,,,,
Zaun,der,"""-e",,,,
Zeigefinger,der,-,,,,
Zeitalter,das,-,,,,
Zeiterscheinung,die,-en,,,,
zeitintensiv,,,,,,
Zeitplan,der,"""-e",,,,
Zeitraum,der,"""-e",,,,
Zeitreise,die,-n,,,,
Zeitstrahl,der,-en,,,,
Zeitvertreib,der,-e,,,,
Zeitzeuge/Zeitzeugin,der/die,-n/-nen,,,,
Zensur,die,Sg.,,,,
Zerfall,der,Sg.,,,,
zerfallen,,,zerfiel,ist,zerfallen,
zerrissen,,,,,,
zerschneiden,,,zerschnitt,hat,zerschnitten,
ziehen,,,zog,hat,gezogen,
ziehen,,,zog,hat,gezogen,
ziehen,,,zog,ist,gezogen,
ziehen,,,zog,hat,gezogen,
zielorientiert,,,,,,
Zitat,das,-e,,,,
zittern,,,,,,
Zöpfchen,das,-,,,,
zudem,,,,,,
zufolge,,,,,,
Zufriedenheit,die,Sg.,,,,
Zugabe,die,-n,,,,
Zugang,der,"""-e",,,,
zugänglich,,,,,,
Zugewanderte,der/die,-n,,,,
zugleich,,,,,,
zugreifen,,,griff zu,hat,zugegriffen,
zugrunde liegen,,,lag zugrunde,ist,zugrunde gelegen,
Zugunglück,das,-e,,,,
zukommen,,,,,,
zukunftssicher,,,,,,
Zukunftsvision,die,-en,,,,
zukunftsweisend,,,,,,
zulassen,,,ließ zu,hat,zugelassen,
zumauern,,,,,,
zumeist,,,,,,
zumindest,,,,,,
zunehmend,,,,,,
Zuneigung,die,Sg.,,,,
Zuordnung,die,-en,,,,
zurückerobern,,,,,,
zurückfallen,,,fällt zurück,ist,zurückgefallen,
zurückgeben,,,gab zurück,hat,zurückgegeben,
zurückgehen,,,,,,
zurückhaltend,,,,,,
zurückkehren,,,,,,
zusammenarbeiten,,,,,,
zusammenbinden,,,band zusammen,hat,zusammengebunden,
zusammenbrechen,,,brach zusammen,ist,zusammengebrochen,
Zusammenbruch,der,"""-e",,,,
Zusammenfassung,die,-en,,,,
zusammengehören,,,,,,
Zusammenhang,der,"""-e",,,,
zusammenhängen,,,,,,
zusammenschreiben,,,schrieb zusammen,hat,zusammen-geschrieben,
zusammensetzen,,,,,,
zusammentragen,,,trug zusammen,hat,zusammen-getragen,
zuschlagen,,,schlug zu,hat,zugeschlagen,
zustande kommen,,,kam zustande,ist,zustande gekommen,
zutrauen,,,,,,
zuversichtlich,,,,,,
Zweifel,der,-,,,,
Zweig,der,-e,,,,
zweisprachig,,,,,,
zwischendurch,,,,,,
Zwischenfall,der,"""-e",,,,
